,,,,
№,Описание проверки,ID Баг- репорта,Результат,Описание
19.5,"Игра представляет собой интерпретацию игры Данетки. На экране показывается слово и его перевод, пользователю необходимо указать правильный он или нет. На одну игру дается 60 секунд. За серию правильных ответов игроку начисляются дополнительные очки. Если стартового набора слов недостаточно чтобы заполнить 60 секунд, слова берутся со следующей страницы раздела или со следующего раздела учебника",,PASSED,
19.6,Курсор на интерактивных элементах должен меняться на иконку руки,,PASSED,
19.7,Страница игры Паззл,,,
19.8,Шрифт Rubik ,,PASSED,
19.9,Адаптивность разметки,Bug - 24,FAILED,
19.10,"слева вверху Значек ""на весь эран"" цвет белый",,PASSED,
19.11,Справа сверху крестик (цвет белый) выход из игры,,PASSED,
19.12,"Суть игры заключается в том, чтобы составить перевод предложения из данных слов. На каждое предложение дается 3 попытки, слова можно как перетягивать в любом порядке, так и кликать по ним, тогда они будут подставлены в следующую свободную ячейку",,PASSED,
19.13,Курсор на интерактивных элементах должен меняться на иконку руки,,PASSED,
19.14,Страница результатов игры,,,
19.15,Шрифт Rubik ,Bug - 25,FAILED,
19.16,Адаптивность разметки,,PASSED,
19.17,Цвет страницы оранженый,,PASSED,
19.18,Посередине окно Результаты,,PASSED,
19.19,"Посередине надпись ""Результаты"" цвет черный",,PASSED,
19.20,Отображаются результаты игры,,PASSED,
19.21,"Если правильно ответил зеленая галочка, если не правильно красный крестик",Bug - 26,FAILED,
19.22,"Статистика по каждому слову за все время, если пользователь аутентифицирован",,PASSED,
19.23,"слева три кнопка ""Рестарт"" (белая стрелка). ",,PASSED,
19.24,При нажатие на рестарт игра начинается заново,,PASSED,
19.25,"Снизу ""Учебник"" (картинка под ней текст ""Учебник"" цвет белый)",,PASSED,
19.26,При нажатии на учебник открывается страница учебника,,PASSED,
19.27,"Под учебником кнопка ""Ко всем играм"" (картинка ""стрелка влево"", под ней текст ""Ко всем играм"" цвет белый",,PASSED,
19.28,"При нажатии на кнопку Ко всем играм, то происходит переход на страницу выбора игры ",,PASSED,
20,Страница “Узнать больше” (вход из гравного меню),,,
20.1,Шрифт Rubik ,Bug - 27,FAILED,
20.2,Адаптивность разметки,,PASSED,
20.3,Справа сверху крестик (цвет белый) выход из меню,,PASSED,
20.4,"Три картинки ""Узнавай новое"", ""Повторяй"", ""Следи за прогрессом"" (текст цвет белый)",Bug - 28,FAILED,
21,Страница выбора игры,,,
21.1,Шрифт Rubik ,,PASSED,
21.2,Адаптивность разметки,,PASSED,
21.3,"При выборе игры, происходит запуск игры с тем же набором слов, с каким была выбрана прошлая игра",,PASSED,
21.4,При нажатие на крестик происходит возврат к странице результатов игры,Bug - 29,FAILED,
